,verbs,freq
0,reinforced,6
1,demonstrated,467
2,subjected,20
3,reduced,266
4,applied,51
5,loading,25
6,faust,1
7,performed,166
8,fixed,27
9,investigated,72
10,showed,923
11,imposed,3
12,increased,832
13,suggesting,293
14,strain,15
15,tondon,1
16,remodeling,18
17,resulted,96
18,following,290
19,study,1154
20,schwartz,1
21,reported,3044
22,according,188
23,pacing,1
24,graded,5
25,circulating,47
26,sinus,5
27,lbcs,1
28,became,30
29,foreshortened,1
30,remained,75
31,shown,862
32,oocytes,40
33,stimulated,55
34,extended,24
35,decided,4
36,establish,23
37,border,1
38,diameter,1
39,exhibited,65
40,observed,1415
41,took,10
42,see,160
43,separated,12
44,facilitating,3
45,could,1077
46,identified,239
47,ordered,6
48,noted,220
49,ordering,2
50,proposed,143
51,chromosomes,2
52,established,51
53,may,2126
54,reflect,170
55,result,206
56,novel,2
57,lesioning,2
58,reflects,51
59,des,2
60,advantages,1
61,bms,1
62,restenosis,1
63,postulated,21
64,appear,119
65,explaining,14
66,died,15
67,expected,170
68,compared,1262
69,thought,49
70,might,623
71,era,3
72,activation,12
73,signaling,99
74,furthermore,29
75,appears,205
76,described,283
77,indicates,100
78,expressed,187
79,overlapping,11
80,including,330
81,purified,19
82,labeled,9
83,transplanted,9
84,host,2
85,postgrafting,2
86,grafted,2
87,due,306
88,used,758
89,obtained,430
90,banding,3
91,detected,366
92,data,43
93,dedifferentiated,13
94,strengthen,3
95,welldifferentiated,7
96,confined,18
97,characterized,40
98,contrast,530
99,studied,187
100,analyzed,45
101,examined,123
102,regarding,121
103,confirmed,147
104,knowledge,18
105,finding,472
106,associated,940
107,found,2659
108,pcl,3
109,based,298
110,sorted,3
111,subset,10
112,acute,15
113,sipa,1
114,elevated,144
115,correlated,144
116,fig,47
117,seen,304
118,ligand,2
119,argues,20
120,chicken,7
121,migrate,5
122,davis,4
123,inhibited,42
124,involve,26
125,binding,157
126,suggest,433
127,processes,29
128,occurring,58
129,concerning,57
130,disagree,15
131,contrasts,54
132,remain,35
133,developing,71
134,retina,2
135,expression,51
136,resulting,108
137,excluding,31
138,designed,22
139,provide,88
140,decreases,41
141,abolishes,3
142,outcomes,13
143,precluding,5
144,telomeres,1
145,shortening,19
146,ratelimiting,1
147,leading,58
148,rieger,2
149,referred,24
150,rna,12
151,peippo,1
152,give,20
153,melanoma,3
154,promising,4
155,solve,5
156,setting,25
157,intensified,1
158,improve,45
159,find,415
160,least,14
161,feasibility,1
162,gemcitabine,3
163,indicative,11
164,published,245
165,harbored,2
166,focused,26
167,stroke,21
168,comparison,34
169,mds,2
170,involving,62
171,cmml,1
172,represented,25
173,synthesized,14
174,synovium,3
175,staining,75
176,assay,63
177,standardized,5
178,treated,127
179,rfa,2
180,enrolled,14
181,assigned,10
182,contained,31
183,attributed,152
184,randomized,18
185,combined,68
186,looking,22
187,supports,17
188,noting,18
189,recovered,18
190,heating,6
191,melting,6
192,oremland,1
193,consisted,15
194,originating,9
195,increase,147
196,upregulating,2
197,pertaining,2
198,capillary,1
199,made,100
200,censoring,6
201,grouped,2
202,immunocompromised,1
203,lead,53
204,pure,4
205,shows,79
206,bone,32
207,proerythroblasts,3
208,chronic,5
209,induced,188
210,use,130
211,tested,124
212,observe,137
213,tuned,2
214,show,313
215,tuning,11
216,responding,32
217,middlebrooks,1
218,predicted,87
219,potentiate,1
220,garrett,1
221,respective,3
222,derived,61
223,carried,64
224,usa,3
225,screening,101
226,recruited,30
227,measured,260
228,stored,11
229,matched,38
230,overestimated,11
231,modeled,12
232,lower,24
233,agree,30
234,furnished,1
235,hypothesized,21
236,linked,73
237,included,198
238,exclude,35
239,occurred,122
240,simplify,1
241,ear,5
242,provided,99
243,help,18
244,clarify,8
245,must,71
246,undergo,8
247,bmb,4
248,immunostained,2
249,determined,109
250,presenting,28
251,failed,123
252,visualized,3
253,tachykinins,1
254,triggered,16
255,change,48
