,bigrams,freq
0,"('angiographic', 'shown')",3
1,"('rates', 'shown')",5
2,"('rates', 'higher')",45
3,"('rates', 'patients')",34
4,"('shown', 'higher')",9
5,"('shown', 'patients')",8
6,"('shown', 'renal')",5
7,"('higher', 'patients')",42
8,"('higher', 'disease')",7
9,"('higher', 'undergoing')",3
10,"('patients', 'renal')",5
11,"('patients', 'disease')",17
12,"('patients', 'undergoing')",12
13,"('renal', 'disease')",9
14,"('disease', 'undergoing')",3
15,"('disease', 'although')",12
16,"('balloon', 'angioplasty')",3
17,"('angioplasty', 'although')",4
18,"('although', 'although')",5
19,"('although', 'tvr')",4
20,"('stenting', 'rates')",3
21,"('although', 'rates')",7
22,"('although', 'affected')",6
23,"('rates', 'affected')",4
24,"('rates', 'study')",64
25,"('affected', 'study')",13
26,"('affected', 'significantly')",4
27,"('renal', 'function')",7
28,"('renal', 'study')",17
29,"('function', 'study')",13
30,"('function', 'higher')",7
31,"('study', 'significantly')",61
32,"('study', 'higher')",314
33,"('study', 'rates')",39
34,"('study', 'severe')",10
35,"('significantly', 'higher')",70
36,"('significantly', 'rates')",6
37,"('significantly', 'severe')",6
38,"('higher', 'rates')",63
39,"('restenosis', 'reocclusion')",4
40,"('artery', 'present')",3
41,"('reocclusion', 'patients')",4
42,"('present', 'patients')",34
43,"('present', 'although')",34
44,"('present', 'treatment')",12
45,"('patients', 'although')",35
46,"('patients', 'treatment')",18
47,"('although', 'treatment')",5
48,"('although', 'impact')",3
49,"('treatment', 'impact')",3
50,"('treatment', 'patients')",24
51,"('impact', 'restenosis')",4
52,"('impact', 'patients')",3
53,"('restenosis', 'restenosis')",3
54,"('restenosis', 'reduced')",4
55,"('patients', 'reduced')",3
56,"('reduced', 'rates')",3
57,"('patients', 'however')",59
58,"('reduced', 'however')",7
59,"('reduced', 'effects')",3
60,"('however', 'effects')",14
61,"('traditional', 'binding')",4
62,"('mechanism', 'previous')",9
63,"('previous', 'investigations')",18
64,"('receptor', 'cells')",5
65,"('neutrophils', 'cells')",3
66,"('neutrophils', 'however')",4
67,"('cells', 'response')",6
68,"('cells', 'however')",47
69,"('cells', 'culture')",8
70,"('cells', 'conditions')",7
71,"('response', 'however')",12
72,"('however', 'culture')",4
73,"('however', 'conditions')",10
74,"('however', 'used')",24
75,"('however', 'study')",318
76,"('culture', 'conditions')",6
77,"('culture', 'used')",4
78,"('culture', 'study')",9
79,"('conditions', 'used')",14
80,"('conditions', 'study')",26
81,"('used', 'study')",111
82,"('study', 'concentrations')",14
83,"('concentrations', 'greater')",8
84,"('concentrations', 'reported')",15
85,"('times', 'greater')",8
86,"('times', 'reported')",9
87,"('greater', 'reported')",26
88,"('reported', 'effective')",4
89,"('reported', 'cell')",14
90,"('reported', 'types')",9
91,"('reported', 'data')",32
92,"('effective', 'cell')",3
93,"('effective', 'data')",3
94,"('cell', 'types')",30
95,"('cell', 'data')",4
96,"('cell', 'shown')",6
97,"('types', 'shown')",3
98,"('data', 'shown')",65
99,"('data', 'expression')",7
100,"('shown', 'protein')",3
101,"('shown', 'expression')",9
102,"('shown', 'levels')",9
103,"('protein', 'expression')",17
104,"('protein', 'levels')",19
105,"('expression', 'levels')",13
106,"('expression', 'also')",14
107,"('levels', 'also')",12
108,"('levels', 'showed')",10
109,"('luminex', 'assay')",3
110,"('luminex', 'increase')",3
111,"('assay', 'increase')",3
112,"('also', 'showed')",39
113,"('also', 'increase')",11
114,"('showed', 'increase')",21
115,"('show', 'increase')",13
116,"('increase', 'synthesis')",5
117,"('increase', 'despite')",3
118,"('increase', 'dna')",3
119,"('despite', 'dna')",7
120,"('despite', 'findings')",7
121,"('despite', 'prior')",4
122,"('dna', 'findings')",3
123,"('findings', 'prior')",16
124,"('findings', 'report')",15
125,"('findings', 'induction')",3
126,"('findings', 'via')",4
127,"('prior', 'report')",4
128,"('prior', 'via')",3
129,"('report', 'activation')",4
130,"('via', 'activation')",3
131,"('via', 'receptor')",6
132,"('via', 'finding')",3
133,"('activation', 'receptor')",5
134,"('activation', 'finding')",6
135,"('activation', 'although')",11
136,"('finding', 'unexpected')",9
137,"('finding', 'although')",8
138,"('finding', 'able')",4
139,"('although', 'make')",5
140,"('although', 'lack')",4
141,"('interesting', 'note')",22
142,"('induced', 'stimulation')",3
143,"('induced', 'two')",3
144,"('two', 'large')",4
145,"('two', 'values')",16
146,"('small', 'large')",13
147,"('small', 'values')",8
148,"('small', 'shown')",4
149,"('small', 'figure')",3
150,"('large', 'values')",9
151,"('values', 'shown')",6
152,"('values', 'figure')",7
153,"('shown', 'figure')",24
154,"('obvious', 'except')",3
155,"('evidence', 'near')",4
156,"('near', 'source')",3
157,"('little', 'evidence')",10
158,"('evidence', 'previously')",7
159,"('development', 'instabilities')",4
160,"('development', 'previously')",3
161,"('development', 'found')",7
162,"('frontal', 'found')",4
163,"('previously', 'found')",37
164,"('previously', 'amp')",10
165,"('found', 'amp')",21
166,"('found', 'sharp')",3
167,"('amp', 'contrast')",34
168,"('amp', 'studies')",23
169,"('sharp', 'contrast')",24
170,"('sharp', 'studies')",7
171,"('contrast', 'studies')",261
172,"('contrast', 'currents')",3
173,"('contrast', 'along')",4
174,"('studies', 'along')",3
175,"('studies', 'wall')",3
176,"('features', 'amp')",3
