,nouns,freq
0,gestation,7
1,length,93
2,period,240
3,days,159
4,populations,295
5,lineage,21
6,pérez,3
7,results,3201
8,spb,1
9,research,346
10,jacobs,2
11,motility,19
12,model,478
13,hypertension,44
14,registration,6
15,myoelectric,1
16,activity,550
17,electrodes,15
18,layer,89
19,dogs,32
20,study,4060
21,dopamine,17
22,rate,778
23,serum,115
24,compartment,12
25,elimination,6
26,tissue,175
27,perfusion,10
28,addition,300
29,evidence,557
30,link,30
31,bas,4
32,sensitivity,158
33,symptomatology,3
34,sample,241
35,strength,93
36,states,114
37,beevers,2
38,islands,18
39,targets,19
40,demethylation,8
41,line,176
42,methylation,61
43,observation,165
44,changes,396
45,treatment,473
46,relief,11
47,promoter,42
48,cgi,2
49,hypermethylation,39
50,shore,2
51,shelf,10
52,regions,164
53,work,445
54,variation,199
55,dna,105
56,patterns,129
57,gene,272
58,bodies,27
59,levels,872
60,rnap,4
61,elongation,16
62,correlates,9
63,remethylation,2
64,data,1118
65,support,264
66,hypothesis,227
67,function,228
68,memory,67
69,transcription,39
70,suppress,3
71,initiation,25
72,start,10
73,role,345
74,literature,333
75,readers,7
76,books,3
77,shelves,2
78,user,4
79,affects,21
80,book,3
81,selection,129
82,offering,1
83,depth,47
84,order,152
85,market,93
86,proportion,146
87,routers,2
88,friction,14
89,varies,20
90,terciles,1
91,report,380
92,stocks,10
93,size,449
94,standard,25
95,deviation,23
96,bps,1
97,presence,319
98,increase,577
99,menkveld,1
100,foucault,1
101,quote,1
102,competitiveness,2
103,fact,394
104,exchanges,1
105,fees,4
106,submission,1
107,feature,42
108,conditions,387
109,models,252
110,heterogeneities,1
111,mantle,12
112,assemblage,8
113,meibom,1
114,anderson,21
115,parameters,146
116,concentrations,331
117,compositions,20
118,materials,49
119,array,14
120,figure,243
121,correlation,361
122,carbonates,5
123,contrast,1330
124,splits,2
125,difference,884
126,breccias,1
127,alteration,26
128,phases,33
129,range,262
130,aliquots,1
131,agreement,214
132,findings,1397
133,mice,247
134,basis,65
135,juvenile,13
136,body,179
137,absolute,10
138,number,602
139,studies,3178
140,weight,82
141,intestine,9
142,lines,129
143,growth,317
144,katanbaf,1
145,dunnington,1
146,siegel,10
147,protein,166
148,mechanisms,120
149,reports,514
150,activation,236
151,effect,946
152,neuroprotection,4
153,synthesis,71
154,inhibitor,48
155,norm,4
156,construct,8
157,predictor,57
158,intentions,16
159,conner,4
160,energy,199
161,midden,2
162,amp,623
163,ritsema,2
164,control,264
165,efficiency,73
166,interventions,28
167,armitage,4
168,specifics,2
169,place,44
170,properties,96
171,device,13
172,controls,92
173,passwords,1
174,fingerprint,1
175,limitations,42
176,idea,62
177,anxiety,39
178,conceptualization,2
179,amplitude,32
180,index,81
181,distress,23
182,bush,1
183,relationship,381
184,variables,107
185,alterations,29
186,cellulase,2
187,diameter,35
188,microvoids,2
189,area,196
190,yield,55
191,hydrolysis,15
192,values,720
193,laboratory,42
194,measurements,125
195,suggests,54
196,emission,24
197,females,156
198,males,165
199,age,625
200,years,474
201,prototype,2
202,stiffness,20
203,bizzini,1
204,mannion,1
205,comparison,163
206,present,247
207,differences,948
208,pattern,133
209,optimization,3
210,yields,25
211,carbon,97
212,productivities,2
213,cultivation,9
214,glycerol,12
215,walker,11
216,rai,4
217,strain,78
218,calculations,46
219,valence,9
220,veh,2
221,method,129
222,substitution,13
223,electron,27
224,affinity,29
225,respect,58
226,ppv,2
227,change,203
228,ionization,7
229,potential,41
230,cndo,1
231,dmeoppv,2
232,decrease,200
233,bandgap,1
234,value,545
235,molecule,33
236,repeat,12
237,units,48
238,equations,10
239,ion,27
240,regard,43
241,menopause,12
242,menopausal,7
243,status,171
244,suggestions,29
245,parity,46
246,rcc,12
247,risk,659
248,risks,28
249,women,575
250,childbirths,12
251,cases,414
252,children,296
253,factors,463
254,intensity,78
255,peak,78
256,dispersion,16
257,cobalt,6
258,matrix,34
259,xrd,10
260,catalysts,17
261,vijay,1
262,reflection,18
263,preparation,39
264,methods,115
265,precursors,16
266,oxygen,40
267,desorption,4
268,peaks,12
269,temperature,252
270,equation,25
271,bao,3
272,experiment,109
273,viscosity,22
274,surface,217
275,tension,14
276,influence,210
277,slug,5
278,channel,46
279,lengths,8
280,parallel,1
281,channels,47
282,hollander,1
283,bolton,4
284,salama,4
285,others,272
286,sevincok,4
287,jaafari,4
288,analysis,497
289,confirm,49
290,association,514
291,symptom,11
292,severity,78
293,absence,132
294,tip,16
295,drm,3
296,lists,6
297,recognition,37
298,lures,3
299,groups,369
300,example,221
301,hicks,2
302,reduction,234
303,recall,9
304,sources,82
305,participants,164
306,source,115
307,decisions,35
308,forewarnings,1
309,lane,7
310,test,146
311,explanation,180
312,primes,1
313,attention,56
314,effects,699
315,marsh,12
316,experiments,267
317,antibody,38
318,keratins,3
319,sccas,3
320,anticytokeratin,3
321,immunohistochemistry,11
322,occult,3
323,variety,41
324,tumors,117
325,lymph,30
326,node,15
327,cells,1147
328,antibodies,47
329,specificity,51
330,features,69
331,cancer,685
332,cell,542
333,scheier,1
334,relation,121
335,optimism,10
336,functioning,14
337,bypass,4
338,patients,1618
339,beliefs,8
340,activities,71
341,measure,57
342,detect,23
343,expectation,21
344,proves,1
345,disease,263
346,emotions,12
347,cope,1
348,statement,16
349,illusions,1
350,people,65
351,threats,4
352,case,426
353,iddm,4
354,thinking,1
355,situation,51
356,theory,70
357,adaptation,38
358,taylor,21
359,approach,101
360,acceptance,19
361,individuals,234
362,emotion,22
363,health,107
364,stanton,5
365,ciss,1
366,disengagement,4
367,hcc,18
368,kit,8
369,combination,109
370,markers,61
371,meins,1
372,correlations,83
373,lexicon,1
374,tom,1
375,abilities,4
376,comprehension,7
377,language,47
378,cdnb,2
379,formation,163
380,dense,10
381,leakage,14
382,loss,288
383,ways,18
384,increases,146
385,gsh,6
386,damage,113
387,inhibition,141
388,gardos,1
389,clotrimazole,1
390,dioa,2
391,system,257
392,cotransport,1
393,infants,58
394,sex,91
395,dimorphism,14
396,hand,218
397,contrasts,177
398,testosterone,26
399,postnatal,3
400,androgen,7
401,exposure,176
402,accentuation,3
403,stabilization,8
404,ratio,190
405,lack,141
406,mother,19
407,level,412
408,environment,103
409,stages,80
410,development,221
411,digit,2
412,process,171
413,regulation,50
414,genes,175
415,estrogen,11
416,variability,155
417,mothers,37
418,sarkar,2
419,plasma,85
420,transport,66
421,lung,89
422,histology,7
423,onset,24
424,exposures,10
425,mcdowall,2
426,excess,7
427,cohort,104
428,variance,83
429,workers,45
430,cement,7
431,stomach,15
432,raffn,2
433,determine,20
434,persists,2
435,eysenck,7
436,furnham,3
437,core,40
438,extraversion,10
439,reward,15
440,sociability,1
441,lucas,1
442,diener,1
443,grob,1
444,suh,1
445,shao,1
446,scales,39
447,stability,82
448,hygiene,8
449,discrepancy,248
450,concerns,22
451,indices,15
452,samples,281
453,adj,3
454,hart,3
455,neuroticism,10
456,job,23
457,satisfaction,61
458,personality,31
459,judgments,7
460,zacherl,2
461,tokar,2
462,validity,14
463,traits,87
464,composition,106
465,adult,83
466,kidney,34
467,muscle,125
468,eye,34
469,sanes,6
470,coexpression,1
471,mouse,57
472,basement,6
473,membrane,103
474,contains,11
475,types,185
476,waste,16
477,resources,47
478,result,581
479,apergis,1
480,ben,2
481,jebli,2
482,differs,196
483,youssef,1
484,tunisia,1
485,doh,2
486,impurity,11
487,adsorption,32
488,tot,2
489,mol,21
490,cmc,2
491,pure,12
492,sds,2
493,history,77
494,vte,2
495,amongst,3
496,bias,64
497,events,141
498,problem,44
499,couturaud,2
500,thrombosis,8
501,inclusion,32
502,advantages,18
503,design,46
504,doubts,3
505,reliability,24
506,expenditure,16
507,figures,52
508,investigation,52
509,food,121
510,share,29
511,whereas,114
512,davies,6
513,labourers,1
514,carcinomas,30
515,expression,523
516,mrna,56
517,species,645
518,surprising,5
519,translation,5
520,carcinoma,87
521,strickland,1
522,prediction,110
523,trust,14
524,inference,11
525,rats,139
526,supplements,5
527,brush,3
528,border,9
529,vesicles,9
530,mack,7
531,carnitine,5
532,rebouche,4
533,investigations,74
534,tamai,3
535,discrepancies,71
536,bloom,4
537,time,537
538,uncertainty,39
539,firms,132
540,enhance,21
541,impair,2
542,investment,24
543,conjunction,9
544,leverage,7
545,guthrie,2
546,notes,3
547,quartiles,3
548,deviations,18
549,quality,110
550,kumar,13
551,implication,11
552,justice,2
553,supersedes,1
554,context,56
555,relationships,69
556,group,565
557,cerebrovasculature,1
558,abnormalities,35
559,problems,54
560,motor,49
561,adolescents,62
562,response,487
563,finger,3
564,task,81
565,parks,4
566,colleagues,56
567,alcohol,43
568,dependent,12
569,adults,120
570,course,59
571,substrates,19
572,functions,51
573,localization,53
574,moss,12
575,reinhart,3
576,tang,19
577,elegans,5
578,sites,137
579,limb,36
580,bud,5
581,microrna,3
582,mansfield,3
583,moliadze,1
584,tdcs,4
585,cortex,38
586,min,40
587,mep,4
588,amplitudes,15
589,stimulation,101
590,reduces,31
591,nitsche,2
592,batsikadze,2
593,cathodal,2
594,progress,13
595,shift,46
596,agriculture,9
597,industry,35
598,century,39
599,crafts,2
600,sector,19
601,productivity,35
602,revolution,2
603,labour,7
604,pace,3
605,finding,70
606,output,49
607,estimates,140
608,views,11
609,challenge,33
610,clark,18
611,trend,145
612,capita,7
