,verbs,freq
0,obtained,170
1,sink,1
2,isolates,11
3,confirmed,135
4,pcr,5
5,documented,78
6,cosmeticum,3
7,evaluated,131
8,gel,4
9,banding,4
10,isolate,5
11,strains,24
12,performed,319
13,using,1179
14,lanes,3
15,recognized,60
16,etiologic,1
17,associated,854
18,postulated,13
19,administered,55
20,weight,71
21,caused,143
22,growing,44
23,achieved,66
24,removing,8
25,met,85
26,occurs,89
27,linked,142
28,direct,13
29,used,1048
30,shortens,1
31,reported,1199
32,considered,244
33,analyzed,76
34,found,753
35,connecticut,1
36,montana,1
37,michigan,3
38,comprise,10
39,toxin,1
40,testing,89
41,may,1412
42,outweigh,4
43,study,192
44,estimating,18
45,coli,5
46,suggested,270
47,varying,43
48,hus,3
49,stec,1
50,comprised,8
51,registered,10
52,globulin,1
53,identified,289
54,refer,14
55,according,235
56,published,215
57,due,43
58,presented,56
59,mayo,2
60,seen,132
61,birthed,1
62,episodes,8
63,function,31
64,disease,25
65,increased,585
66,circulating,91
67,immunophenotyping,3
68,taken,72
69,showed,308
70,remainder,3
71,including,689
72,staining,31
73,specimens,3
74,blebbing,1
75,widening,7
76,serum,9
77,cultured,28
78,derived,100
79,induced,84
80,known,342
81,induce,69
82,prostaglandins,3
83,elevated,86
84,suggesting,187
85,scls,10
86,varied,11
87,endocrine,1
88,contribute,121
89,poems,2
90,papilledema,2
91,defined,144
92,setting,50
93,purified,23
94,failed,43
95,produced,91
96,indicating,97
97,produce,120
98,causes,54
99,aggregating,5
100,depositing,5
101,binding,208
102,acting,16
103,vonwillebrand,5
104,follows,36
105,generalized,13
106,vomiting,4
107,include,262
108,exclude,4
109,emphasize,9
110,followed,104
111,visceral,2
112,present,18
113,increase,93
114,terbutaline,1
115,theophylline,2
116,reduce,186
117,recommend,18
118,diagnosed,93
119,started,9
120,appears,66
121,play,100
122,iga,1
123,making,58
124,mgus,3
125,evolved,13
126,accompanied,38
127,acquired,50
128,could,640
129,demonstrated,366
130,thwarting,2
131,treated,103
132,noted,80
133,estimated,125
134,placed,22
135,counting,8
136,shown,751
137,survive,5
138,targeting,96
139,ameliorate,17
140,diminish,13
141,mediate,24
142,vegf,6
143,dasatinib,6
144,stabilize,27
145,preserving,9
146,typifies,3
147,viruses,20
148,understanding,83
149,describe,20
150,mdd,3
151,therapy,12
152,cbt,8
153,called,53
154,blind,5
155,placebo,3
156,show,152
157,scores,6
158,baseline,11
159,waiting,3
160,thought,73
161,garnered,1
162,require,64
163,would,262
164,standard,5
165,leading,110
166,japan,24
167,added,31
168,concerning,17
169,provide,155
170,remain,70
171,limiting,24
172,focuses,17
173,recognizing,6
174,limits,10
175,depriving,3
176,based,452
177,considering,48
178,ghisetti,1
179,conducted,105
180,made,152
181,unbiased,1
182,tool,4
183,collecting,8
184,asks,2
185,see,254
186,apply,13
187,think,15
188,helps,13
189,decide,2
190,stavins,5
191,argue,18
192,adopt,7
193,downing,2
194,tend,28
195,decrease,21
196,form,37
197,sold,2
198,received,59
199,saved,3
200,allow,54
201,choose,5
202,improve,183
203,satisfied,6
204,incentives,12
205,abate,2
206,stucki,11
207,favor,14
208,pursue,2
209,processes,76
210,includes,52
211,negotiated,3
212,croci,3
213,given,230
214,point,15
215,enter,2
216,suggests,118
217,want,10
218,florida,3
219,reach,47
220,obtain,52
221,choosing,8
222,might,342
223,suffer,14
224,involve,29
225,enforcement,2
226,investigated,124
227,lead,88
228,switching,11
229,leeuwen,1
230,adoption,3
231,applying,42
232,correlated,101
233,drive,21
234,levies,2
235,integrated,50
236,supportive,2
237,whereas,28
238,frondel,1
239,suggest,140
240,tends,4
241,horbach,1
242,adopting,4
243,save,1
244,demirel,1
245,stemming,16
246,measured,173
247,use,138
248,set,136
249,taking,53
250,van,34
251,gets,12
252,observe,10
253,mentioned,30
254,netherlands,8
255,counted,15
256,adopted,38
257,gain,9
258,need,96
259,least,9
260,get,21
261,stringency,1
262,xing,4
263,kolstad,1
264,cover,4
265,exist,56
266,arises,5
267,stratified,6
268,takes,20
269,responding,23
270,average,5
271,spent,8
272,unweighted,1
273,please,2
274,diffusion,6
275,applied,140
276,lack,48
277,determined,135
278,vector,1
279,reflecting,28
280,note,29
281,differing,13
282,ireland,1
283,expected,119
284,constituted,8
285,switzerland,6
286,elements,10
287,influenced,35
288,consider,26
289,capture,5
290,utilizing,35
291,learning,185
292,gained,14
293,observing,3
294,battisti,2
295,follow,27
296,amp,395
297,invested,2
298,clarifying,1
299,selection,7
300,formulated,1
301,allows,59
302,included,194
303,khanna,2
304,harrington,4
305,depend,13
306,respective,1
307,groote,1
308,photovoltaic,13
309,mccann,2
310,promote,82
311,bring,12
312,assumed,44
313,perceived,71
314,compared,489
315,austria,1
316,biomass,1
317,help,42
318,reaching,27
319,introduced,86
320,stimulate,9
321,fixed,31
322,guaranteed,1
323,reduced,397
324,büsgen,1
325,passed,13
326,exempted,5
327,provided,157
328,led,112
329,welfens,7
330,resulted,96
331,producing,49
332,increasing,185
333,reinforced,14
334,redesigned,1
335,building,25
336,regarded,16
337,incentivized,3
338,galvin,3
339,running,5
340,foster,10
341,saving,3
342,implied,4
343,baumol,1
344,oates,1
345,violates,1
346,heating,1
347,imposing,3
348,manufacturing,5
349,köppl,1
350,focused,94
351,shaping,11
352,offspring,75
353,marginalized,1
354,shifted,7
355,badyaev,1
356,invertebrates,4
357,finding,76
358,hatching,9
359,roff,2
360,depends,45
361,experienced,46
362,occurring,88
363,fox,2
364,favoring,3
365,rollinson,4
366,koenig,1
367,means,49
368,compensate,8
369,analyzing,4
370,egg,3
371,determining,33
372,change,40
373,posthatching,11
374,experience,21
375,lay,4
376,tended,30
377,provisioning,2
378,monteith,3
379,burying,1
380,allowed,60
381,prevented,18
382,caring,6
383,adapt,9
384,altered,58
385,raised,28
386,parental,1
387,redundant,1
388,protocol,2
389,schrader,3
390,make,83
391,measuring,28
392,requires,49
393,searching,4
394,weighing,3
395,photographing,3
396,mated,6
397,consistent,16
398,pairing,11
399,removed,29
400,laid,3
401,eliminated,20
402,completed,34
403,hatched,8
404,parents,5
405,created,34
406,feeding,29
407,challenging,74
408,described,484
409,breeding,8
410,engineered,26
411,fell,8
